 , , ,Welcome To My Trace File 
, History Time Limit ,1
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,19299,222,28,222,28,181,69,
0.1,19299,222,28,222,28,181,69,
0.2,16973,174,76,174,76,174,76,
0.3,26423,239,11,239,11,239,11,
0.4,28034,246,4,246,4,246,4,
0.5,27860,240,10,240,10,240,10,
0.6,28217,246,4,246,4,246,4,
0.7,27901,240,10,240,10,240,10,
, History Time Limit ,2
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,13623,139,111,137,113,141,109,
0.1,20206,210,40,210,40,210,40,
0.2,14278,156,94,130,120,152,98,
0.3,26531,241,9,241,9,241,9,
0.4,27591,241,9,241,9,241,9,
0.5,27631,239,11,239,11,238,12,
0.6,28217,246,4,246,4,246,4,
0.7,27901,240,10,240,10,240,10,
, History Time Limit ,3
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,20427,202,48,202,48,202,48,
0.1,17063,168,82,168,82,168,82,
0.2,13755,150,100,127,123,147,103,
0.3,26936,246,4,246,4,246,4,
0.4,27127,238,12,238,12,235,15,
0.5,27143,233,17,233,17,233,17,
0.6,28217,246,4,246,4,246,4,
0.7,27901,240,10,240,10,240,10,
, History Time Limit ,4
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,14259,144,106,144,106,144,106,
0.1,13020,153,97,117,133,131,119,
0.2,13120,139,111,135,115,133,117,
0.3,26402,241,9,241,9,241,9,
0.4,28101,244,6,243,7,243,7,
0.5,27202,233,17,233,17,233,17,
0.6,28217,246,4,246,4,246,4,
0.7,27901,240,10,240,10,240,10,
, History Time Limit ,5
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,7815,77,173,77,173,77,173,
0.1,7815,77,173,77,173,77,173,
0.2,7815,77,173,77,173,77,173,
0.3,26057,238,12,238,12,238,12,
0.4,27575,241,9,241,9,241,9,
0.5,28100,242,8,242,8,242,8,
0.6,28217,246,4,246,4,246,4,
0.7,27901,240,10,240,10,240,10,
, History Time Limit ,6
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,7815,77,173,77,173,77,173,
0.1,7815,77,173,77,173,77,173,
0.2,7815,77,173,77,173,77,173,
0.3,26650,244,6,244,6,244,6,
0.4,27288,237,13,236,14,236,14,
0.5,27965,241,9,241,9,240,10,
0.6,28217,246,4,246,4,246,4,
0.7,27901,240,10,240,10,240,10,
, History Time Limit ,7
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,7815,77,173,77,173,77,173,
0.1,7815,77,173,77,173,77,173,
0.2,7815,77,173,77,173,77,173,
0.3,26616,242,8,242,8,242,8,
0.4,27793,244,6,244,6,243,7,
0.5,28084,241,9,241,9,241,9,
0.6,28217,246,4,246,4,246,4,
0.7,27901,240,10,240,10,240,10,
, History Time Limit ,8
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,7815,77,173,77,173,77,173,
0.1,7815,77,173,77,173,77,173,
0.2,7815,77,173,77,173,77,173,
0.3,26616,242,8,242,8,242,8,
0.4,27793,244,6,244,6,243,7,
0.5,28395,244,6,244,6,244,6,
0.6,28217,246,4,246,4,246,4,
0.7,27901,240,10,240,10,240,10,
, History Time Limit ,9
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,7815,77,173,77,173,77,173,
0.1,7815,77,173,77,173,77,173,
0.2,7815,77,173,77,173,77,173,
0.3,26376,243,7,243,7,243,7,
0.4,27793,244,6,244,6,243,7,
0.5,28087,242,8,242,8,241,9,
0.6,28217,246,4,246,4,246,4,
0.7,27901,240,10,240,10,240,10,
, History Time Limit ,10
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,7815,77,173,77,173,77,173,
0.1,7815,77,173,77,173,77,173,
0.2,7815,77,173,77,173,77,173,
0.3,26376,243,7,243,7,243,7,
0.4,27793,244,6,244,6,243,7,
0.5,27929,239,11,239,11,239,11,
0.6,28217,246,4,246,4,246,4,
0.7,27901,240,10,240,10,240,10,
